,Title,Date,Time,Score,Number of Comments
190,Trump Threatens to Stop Crucial Obamacare Payments to Insurers,2017-04-13,06:24:09,261,32
191,What would happen if Trump fired Bannon?,2017-04-13,14:21:35,54,19
192,Poll: Dems hold double-digit leads in Virginia governor race,2017-04-12,17:10:49,2702,153
193,Prosecutor: Jeff Sessionss New Immigration Plan Is F*cking Horrifying,2017-04-12,16:18:35,3198,903
194,Trump threatens to fire the man in charge of investigating his ties to Russia,2017-04-12,22:43:28,921,45
195,"Paul Manafort, who once ran Trumps campaign, expected to admit he worked as a foreign agent",2017-04-13,07:31:08,186,6
196,President Trump gets almost everything wrong about the Kansas special election in a dumbfounding tweet,2017-04-12,17:58:58,2218,231
197,Spicer apologized to a Jewish megadonor but not to Jewish members of Congress,2017-04-12,21:59:23,1032,34
198,Trump: Now its Bannons fault,2017-04-13,15:38:56,42,9
199,DeVos undoes Obama student loan protections; defaults expected to rise,2017-04-12,19:27:10,1653,243
200,"Im Rep. Beth Fukumoto, former Republican, current Independent, prospective Democrat",2017-04-12,22:52:49,3074,615
201,Donald Trump-Russia investigation now has specific concrete and corroborative evidence of collusion,2017-04-14,14:16:43,18503,2334
202,"Republican congressman tells his constituents that because hes rich, he doesnt work for them",2017-04-14,15:24:17,2055,153
203,Former Defense Secretary Criticizes President Trump For Saying My Military,2017-04-14,16:10:11,1347,111
204,Former MI6 chief suggests Donald Trump may have secretly borrowed Russian money to keep his businesses afloat when others in the west wouldnt lend to him,2017-04-14,16:28:59,1263,76
205,Trump 90 Days Ago: My People Will Have a Full Report on Hacking Within 90 Days!,2017-04-14,04:31:31,30156,1611
206,Trump admin drops bomb as new Russia story breaks,2017-04-14,15:34:04,986,98
207,"Asked about privacy changes, GOP rep says internet usage is optional",2017-04-14,17:15:33,657,101
208,Richard Posner: The Real Corruption Is the Ownership of Congress by the Rich,2017-04-14,13:30:19,1012,35
209,Democrats In Illinois Just Unseated A Whole Bunch Of Republicans,2017-04-14,08:42:53,2197,159
210,ICE targets mother with no criminal record for deportation,2017-04-14,15:09:15,655,112
211,Trump arrives at Mar-a-Lago for three-day Easter weekend,2017-04-14,03:18:39,7145,1146
212,British intel agency reported Trump campaign Russia ties: Report,2017-04-14,15:17:30,554,35
213,Trump faces Chinese mockery following embarrassing reversals,2017-04-14,16:58:50,405,39
214,Survey says: Political polarization isnt the internets fault -- A study says hyper-partisanship is more common among older people who barely use the internet,2017-04-14,15:33:28,518,71
215,"After Tillerson Leaves, Putin Orders Sweeping Arrests of Opposition Figures",2017-04-14,17:54:43,309,15
216,More TrumpRegrets every day: Now the hard-right nationalists are losing their religion,2017-04-14,16:05:55,368,85
217,Glenn Beck: Trump another Republican who said stuff and didnt mean it,2017-04-14,17:53:48,267,33
218,You work for us: Arizona Sen. Jeff Flake faces hostile town hall,2017-04-14,17:13:57,300,27
219,Sanders wins big with free public college and Medicare for all,2017-04-14,17:30:21,268,67
220,Trump used the phrase my military  a former US defense secretary was not amused,2017-04-14,09:32:50,972,68
221,"The Trump Doctrine: Eat cake, fire missiles, learn on the job",2017-04-14,14:52:55,369,16
222,Trump made sure the media didnt see him sign a bill to cut Planned Parenthood funding .,2017-04-14,08:36:02,1088,82
223,James Comey Says Americans Should Be Wary of Troll Farms Peddling Fake News,2017-04-14,04:46:40,2230,200
224,Spending blind: Shocking education report shows taxpayers pay millions for subpar charter schools,2017-04-14,16:50:40,233,27
225,Ex-Pentagon chief: Its not Trumps military,2017-04-14,17:08:44,224,3
226,Carter Page: All of the lies are coming out into the open,2017-04-14,15:58:56,265,41
227,FBI director: Public should be aware agenda-driven fake news,2017-04-13,21:26:19,11561,1370
228,Analysts identify #SyriaHoax as Russian-fueled propaganda,2017-04-14,03:31:34,2225,248
229,CIA Director: WikiLeaks a non-state hostile intelligence service,2017-04-13,23:46:33,4734,980
230,Donald Trump just quietly signed away more womens rights,2017-04-14,14:02:34,306,18
231,It looks like Donald Trump is trying to bomb his way to popularity.,2017-04-13,21:57:55,7889,1488
232,British intelligence passed Trump associates communications with Russians on to US counterparts,2017-04-14,00:22:07,3947,379
233,"Ivanka Trump: Majority of young US women view Donald Trumps daughter negatively, poll finds",2017-04-13,23:34:56,4721,469
234,China says North Korea tension has to be stopped before it reaches irreversible stage.,2017-04-14,14:59:29,239,50
235,"Spicer refuses to say if Trump was in Situation Room for Afghanistan strike, flees amid questions.",2017-04-14,01:12:16,3285,446
236,House Democrats want Kushners security clearance suspended,2017-04-13,19:34:53,21015,1243
237,Ex-acting CIA chief: Trump is making North Korea situation worse,2017-04-14,18:07:02,137,11
238,GOP Candidate Loses Partys Support After Telling Woman You Should F**k Me,2017-04-14,02:07:27,2335,283
239,Airlines Treat People Like Dirt Because the Republicans in Congress Let Them,2017-04-14,16:35:44,160,14
240,We are relying on China and Russia to tell us what Trump and Tillerson discussed with their leaders,2017-04-13,22:11:08,5214,168
241,Chinese Media Cant Stop Making Fun Of Donald Trump,2017-04-14,11:40:22,372,27
